Jaar week,AgeGroup,Hospitalisations
24 mei 2021 t/m 30 mei 2021 (Week 21),06–19,0.024
24 mei 2021 t/m 30 mei 2021 (Week 21),80–++,0.151
24 mei 2021 t/m 30 mei 2021 (Week 21),60–79,0.241
31 mei 2021 t/m 6 jun. 2021 (Week 22),00–05,0.016
31 mei 2021 t/m 6 jun. 2021 (Week 22),80–++,0.135
31 mei 2021 t/m 6 jun. 2021 (Week 22),60–79,0.249
31 mei 2021 t/m 6 jun. 2021 (Week 22),40–59,0.444
31 mei 2021 t/m 6 jun. 2021 (Week 22),20–39,0.143
31 mei 2021 t/m 6 jun. 2021 (Week 22),06–19,0.013
7 jun. 2021 t/m 13 jun. 2021 (Week 23),20–39,0.183
7 jun. 2021 t/m 13 jun. 2021 (Week 23),60–79,0.293
7 jun. 2021 t/m 13 jun. 2021 (Week 23),06–19,0.004
7 jun. 2021 t/m 13 jun. 2021 (Week 23),40–59,0.376
7 jun. 2021 t/m 13 jun. 2021 (Week 23),80–++,0.118
7 jun. 2021 t/m 13 jun. 2021 (Week 23),00–05,0.026
14 jun. 2021 t/m 20 jun. 2021 (Week 24),00–05,0.044
14 jun. 2021 t/m 20 jun. 2021 (Week 24),20–39,0.239
14 jun. 2021 t/m 20 jun. 2021 (Week 24),06–19,0.044
14 jun. 2021 t/m 20 jun. 2021 (Week 24),80–++,0.133
14 jun. 2021 t/m 20 jun. 2021 (Week 24),60–79,0.23
14 jun. 2021 t/m 20 jun. 2021 (Week 24),40–59,0.31
21 jun. 2021 t/m 27 jun. 2021 (Week 25),00–05,0.019
21 jun. 2021 t/m 27 jun. 2021 (Week 25),06–19,0.028
21 jun. 2021 t/m 27 jun. 2021 (Week 25),80–++,0.185
21 jun. 2021 t/m 27 jun. 2021 (Week 25),60–79,0.167
21 jun. 2021 t/m 27 jun. 2021 (Week 25),40–59,0.333
21 jun. 2021 t/m 27 jun. 2021 (Week 25),20–39,0.269
28 jun. 2021 t/m 4 jul. 2021 (Week 26),06–19,0.056
28 jun. 2021 t/m 4 jul. 2021 (Week 26),00–05,0.069
28 jun. 2021 t/m 4 jul. 2021 (Week 26),80–++,0.222
28 jun. 2021 t/m 4 jul. 2021 (Week 26),60–79,0.181
28 jun. 2021 t/m 4 jul. 2021 (Week 26),40–59,0.222
28 jun. 2021 t/m 4 jul. 2021 (Week 26),20–39,0.25
5 jul. 2021 t/m 11 jul. 2021 (Week 27),40–59,0.269
5 jul. 2021 t/m 11 jul. 2021 (Week 27),20–39,0.247
5 jul. 2021 t/m 11 jul. 2021 (Week 27),60–79,0.258
5 jul. 2021 t/m 11 jul. 2021 (Week 27),06–19,0.043
5 jul. 2021 t/m 11 jul. 2021 (Week 27),80–++,0.161
5 jul. 2021 t/m 11 jul. 2021 (Week 27),00–05,0.022
12 jul. 2021 t/m 18 jul. 2021 (Week 28),06–19,0.051
12 jul. 2021 t/m 18 jul. 2021 (Week 28),00–05,0.029
12 jul. 2021 t/m 18 jul. 2021 (Week 28),20–39,0.243
12 jul. 2021 t/m 18 jul. 2021 (Week 28),80–++,0.191
12 jul. 2021 t/m 18 jul. 2021 (Week 28),40–59,0.272
12 jul. 2021 t/m 18 jul. 2021 (Week 28),60–79,0.213
19 jul. 2021 t/m 25 jul. 2021 (Week 29),00–05,0.06
19 jul. 2021 t/m 25 jul. 2021 (Week 29),40–59,0.347
19 jul. 2021 t/m 25 jul. 2021 (Week 29),20–39,0.167
19 jul. 2021 t/m 25 jul. 2021 (Week 29),06–19,0.033
19 jul. 2021 t/m 25 jul. 2021 (Week 29),80–++,0.16
19 jul. 2021 t/m 25 jul. 2021 (Week 29),60–79,0.233
26 jul. 2021 t/m 1 aug. 2021 (Week 30),80–++,0.165
26 jul. 2021 t/m 1 aug. 2021 (Week 30),60–79,0.18
26 jul. 2021 t/m 1 aug. 2021 (Week 30),40–59,0.301
26 jul. 2021 t/m 1 aug. 2021 (Week 30),20–39,0.248
26 jul. 2021 t/m 1 aug. 2021 (Week 30),06–19,0.034
26 jul. 2021 t/m 1 aug. 2021 (Week 30),00–05,0.073
2 aug. 2021 t/m 8 aug. 2021 (Week 31),60–79,0.215
2 aug. 2021 t/m 8 aug. 2021 (Week 31),40–59,0.335
2 aug. 2021 t/m 8 aug. 2021 (Week 31),80–++,0.195
2 aug. 2021 t/m 8 aug. 2021 (Week 31),06–19,0.032
2 aug. 2021 t/m 8 aug. 2021 (Week 31),00–05,0.036
2 aug. 2021 t/m 8 aug. 2021 (Week 31),20–39,0.187
9 aug. 2021 t/m 15 aug. 2021 (Week 32),06–19,0.018
9 aug. 2021 t/m 15 aug. 2021 (Week 32),00–05,0.03
9 aug. 2021 t/m 15 aug. 2021 (Week 32),20–39,0.236
9 aug. 2021 t/m 15 aug. 2021 (Week 32),80–++,0.148
9 aug. 2021 t/m 15 aug. 2021 (Week 32),60–79,0.284
9 aug. 2021 t/m 15 aug. 2021 (Week 32),40–59,0.284
16 aug. 2021 t/m 22 aug. 2021 (Week 33),00–05,0.06
16 aug. 2021 t/m 22 aug. 2021 (Week 33),20–39,0.184
16 aug. 2021 t/m 22 aug. 2021 (Week 33),06–19,0.03
16 aug. 2021 t/m 22 aug. 2021 (Week 33),80–++,0.157
16 aug. 2021 t/m 22 aug. 2021 (Week 33),60–79,0.272
16 aug. 2021 t/m 22 aug. 2021 (Week 33),40–59,0.296
23 aug. 2021 t/m 29 aug. 2021 (Week 34),06–19,0.028
23 aug. 2021 t/m 29 aug. 2021 (Week 34),00–05,0.073
23 aug. 2021 t/m 29 aug. 2021 (Week 34),80–++,0.169
23 aug. 2021 t/m 29 aug. 2021 (Week 34),60–79,0.301
23 aug. 2021 t/m 29 aug. 2021 (Week 34),40–59,0.278
23 aug. 2021 t/m 29 aug. 2021 (Week 34),20–39,0.152
30 aug. 2021 t/m 5 sep. 2021 (Week 35),40–59,0.253
30 aug. 2021 t/m 5 sep. 2021 (Week 35),20–39,0.188
30 aug. 2021 t/m 5 sep. 2021 (Week 35),60–79,0.294
30 aug. 2021 t/m 5 sep. 2021 (Week 35),06–19,0.03
30 aug. 2021 t/m 5 sep. 2021 (Week 35),80–++,0.169
30 aug. 2021 t/m 5 sep. 2021 (Week 35),00–05,0.065
6 sep. 2021 t/m 12 sep. 2021 (Week 36),06–19,0.034
6 sep. 2021 t/m 12 sep. 2021 (Week 36),00–05,0.048
6 sep. 2021 t/m 12 sep. 2021 (Week 36),20–39,0.178
6 sep. 2021 t/m 12 sep. 2021 (Week 36),80–++,0.229
6 sep. 2021 t/m 12 sep. 2021 (Week 36),60–79,0.253
6 sep. 2021 t/m 12 sep. 2021 (Week 36),40–59,0.257
13 sep. 2021 t/m 19 sep. 2021 (Week 37),00–05,0.032
13 sep. 2021 t/m 19 sep. 2021 (Week 37),40–59,0.267
13 sep. 2021 t/m 19 sep. 2021 (Week 37),20–39,0.172
13 sep. 2021 t/m 19 sep. 2021 (Week 37),06–19,0.026
13 sep. 2021 t/m 19 sep. 2021 (Week 37),80–++,0.203
13 sep. 2021 t/m 19 sep. 2021 (Week 37),60–79,0.299
20 sep. 2021 t/m 26 sep. 2021 (Week 38),00–05,0.044
20 sep. 2021 t/m 26 sep. 2021 (Week 38),80–++,0.253
20 sep. 2021 t/m 26 sep. 2021 (Week 38),60–79,0.323
20 sep. 2021 t/m 26 sep. 2021 (Week 38),40–59,0.222
20 sep. 2021 t/m 26 sep. 2021 (Week 38),20–39,0.135
20 sep. 2021 t/m 26 sep. 2021 (Week 38),06–19,0.024
27 sep. 2021 t/m 3 okt. 2021 (Week 39),20–39,0.148
27 sep. 2021 t/m 3 okt. 2021 (Week 39),60–79,0.292
27 sep. 2021 t/m 3 okt. 2021 (Week 39),06–19,0.028
27 sep. 2021 t/m 3 okt. 2021 (Week 39),40–59,0.255
27 sep. 2021 t/m 3 okt. 2021 (Week 39),80–++,0.246
27 sep. 2021 t/m 3 okt. 2021 (Week 39),00–05,0.031
4 okt. 2021 t/m 10 okt. 2021 (Week 40),00–05,0.059
4 okt. 2021 t/m 10 okt. 2021 (Week 40),06–19,0.017
4 okt. 2021 t/m 10 okt. 2021 (Week 40),20–39,0.121
4 okt. 2021 t/m 10 okt. 2021 (Week 40),80–++,0.279
4 okt. 2021 t/m 10 okt. 2021 (Week 40),60–79,0.327
4 okt. 2021 t/m 10 okt. 2021 (Week 40),40–59,0.197
11 okt. 2021 t/m 17 okt. 2021 (Week 41),80–++,0.337
11 okt. 2021 t/m 17 okt. 2021 (Week 41),60–79,0.359
11 okt. 2021 t/m 17 okt. 2021 (Week 41),40–59,0.159
11 okt. 2021 t/m 17 okt. 2021 (Week 41),20–39,0.101
11 okt. 2021 t/m 17 okt. 2021 (Week 41),06–19,0.014
11 okt. 2021 t/m 17 okt. 2021 (Week 41),00–05,0.03
18 okt. 2021 t/m 24 okt. 2021 (Week 42),20–39,0.072
18 okt. 2021 t/m 24 okt. 2021 (Week 42),06–19,0.017
18 okt. 2021 t/m 24 okt. 2021 (Week 42),00–05,0.028
18 okt. 2021 t/m 24 okt. 2021 (Week 42),80–++,0.339
18 okt. 2021 t/m 24 okt. 2021 (Week 42),60–79,0.351
18 okt. 2021 t/m 24 okt. 2021 (Week 42),40–59,0.193
25 okt. 2021 t/m 31 okt. 2021 (Week 43),40–59,0.193
25 okt. 2021 t/m 31 okt. 2021 (Week 43),60–79,0.384
25 okt. 2021 t/m 31 okt. 2021 (Week 43),80–++,0.289
25 okt. 2021 t/m 31 okt. 2021 (Week 43),20–39,0.081
25 okt. 2021 t/m 31 okt. 2021 (Week 43),06–19,0.016
25 okt. 2021 t/m 31 okt. 2021 (Week 43),00–05,0.037
1 nov. 2021 t/m 7 nov. 2021 (Week 44),20–39,0.089
1 nov. 2021 t/m 7 nov. 2021 (Week 44),06–19,0.016
1 nov. 2021 t/m 7 nov. 2021 (Week 44),40–59,0.194
1 nov. 2021 t/m 7 nov. 2021 (Week 44),00–05,0.038
1 nov. 2021 t/m 7 nov. 2021 (Week 44),80–++,0.29
1 nov. 2021 t/m 7 nov. 2021 (Week 44),60–79,0.373
8 nov. 2021 t/m 14 nov. 2021 (Week 45),00–05,0.027
8 nov. 2021 t/m 14 nov. 2021 (Week 45),06–19,0.015
8 nov. 2021 t/m 14 nov. 2021 (Week 45),60–79,0.408
8 nov. 2021 t/m 14 nov. 2021 (Week 45),40–59,0.183
8 nov. 2021 t/m 14 nov. 2021 (Week 45),20–39,0.088
8 nov. 2021 t/m 14 nov. 2021 (Week 45),80–++,0.279
15 nov. 2021 t/m 21 nov. 2021 (Week 46),00–05,0.04
15 nov. 2021 t/m 21 nov. 2021 (Week 46),80–++,0.252
15 nov. 2021 t/m 21 nov. 2021 (Week 46),60–79,0.423
15 nov. 2021 t/m 21 nov. 2021 (Week 46),40–59,0.174
15 nov. 2021 t/m 21 nov. 2021 (Week 46),20–39,0.093
15 nov. 2021 t/m 21 nov. 2021 (Week 46),06–19,0.018
22 nov. 2021 t/m 28 nov. 2021 (Week 47),00–05,0.046
22 nov. 2021 t/m 28 nov. 2021 (Week 47),60–79,0.432
22 nov. 2021 t/m 28 nov. 2021 (Week 47),40–59,0.218
22 nov. 2021 t/m 28 nov. 2021 (Week 47),80–++,0.218
22 nov. 2021 t/m 28 nov. 2021 (Week 47),20–39,0.072
22 nov. 2021 t/m 28 nov. 2021 (Week 47),06–19,0.014
29 nov. 2021 t/m 5 dec. 2021 (Week 48),20–39,0.088
29 nov. 2021 t/m 5 dec. 2021 (Week 48),06–19,0.022
29 nov. 2021 t/m 5 dec. 2021 (Week 48),40–59,0.213
29 nov. 2021 t/m 5 dec. 2021 (Week 48),00–05,0.046
29 nov. 2021 t/m 5 dec. 2021 (Week 48),80–++,0.22
29 nov. 2021 t/m 5 dec. 2021 (Week 48),60–79,0.411
6 dec. 2021 t/m 12 dec. 2021 (Week 49),00–05,0.06
6 dec. 2021 t/m 12 dec. 2021 (Week 49),06–19,0.03
6 dec. 2021 t/m 12 dec. 2021 (Week 49),40–59,0.241
6 dec. 2021 t/m 12 dec. 2021 (Week 49),20–39,0.113
6 dec. 2021 t/m 12 dec. 2021 (Week 49),80–++,0.178
6 dec. 2021 t/m 12 dec. 2021 (Week 49),60–79,0.379
13 dec. 2021 t/m 19 dec. 2021 (Week 50),20–39,0.127
13 dec. 2021 t/m 19 dec. 2021 (Week 50),06–19,0.023
13 dec. 2021 t/m 19 dec. 2021 (Week 50),00–05,0.07
13 dec. 2021 t/m 19 dec. 2021 (Week 50),80–++,0.172
13 dec. 2021 t/m 19 dec. 2021 (Week 50),60–79,0.378
13 dec. 2021 t/m 19 dec. 2021 (Week 50),40–59,0.23
20 dec. 2021 t/m 26 dec. 2021 (Week 51),60–79,0.352
20 dec. 2021 t/m 26 dec. 2021 (Week 51),40–59,0.221
20 dec. 2021 t/m 26 dec. 2021 (Week 51),80–++,0.174
20 dec. 2021 t/m 26 dec. 2021 (Week 51),20–39,0.139
20 dec. 2021 t/m 26 dec. 2021 (Week 51),06–19,0.029
20 dec. 2021 t/m 26 dec. 2021 (Week 51),00–05,0.086
27 dec. 2021 t/m 2 jan. 2022 (Week 52),20–39,0.153
27 dec. 2021 t/m 2 jan. 2022 (Week 52),80–++,0.22
27 dec. 2021 t/m 2 jan. 2022 (Week 52),06–19,0.029
27 dec. 2021 t/m 2 jan. 2022 (Week 52),00–05,0.093
27 dec. 2021 t/m 2 jan. 2022 (Week 52),60–79,0.316
27 dec. 2021 t/m 2 jan. 2022 (Week 52),40–59,0.188
3 jan. 2022 t/m 9 jan. 2022 (Week 1),80–++,0.207
3 jan. 2022 t/m 9 jan. 2022 (Week 1),60–79,0.235
3 jan. 2022 t/m 9 jan. 2022 (Week 1),40–59,0.221
3 jan. 2022 t/m 9 jan. 2022 (Week 1),20–39,0.175
3 jan. 2022 t/m 9 jan. 2022 (Week 1),06–19,0.028
3 jan. 2022 t/m 9 jan. 2022 (Week 1),00–05,0.134
